pair,scenario,cell,rep,sysctl,dur_s,pkt_size,threads,scenario_iface,scenario_mac,pps_sent,pps_recv,cycles,instructions,branches,branch_misses,cycles_per_pkt,ins_per_pkt,branch_miss_per_pkt,recv_sys_pct,recv_soft_pct,rps,rfs,cake,flower,kernel_has_sysctl,status
pi5-bpif3,eth_ip,cell-01,1,0,60,64,2,end0,fe:fe:fe:e2:46:d4,522087,522241,245879521010,143801555649,15002404392,72337443,7846.93,4589.25,2.3086,0.15,30.84,1,1,1,1,no,ok
pi5-bpif3,eth_ip,cell-01,2,0,60,64,2,end0,fe:fe:fe:e2:46:d4,428240,428397,257981215710,145638360788,15230660720,59848037,10036.68,5666.02,2.3284,0.15,30.77,1,1,1,1,no,ok
pi5-bpif3,eth_ip,cell-01,3,0,60,64,2,end0,fe:fe:fe:e2:46:d4,449547,449705,211907207933,124072333658,12717603041,87057648,7853.55,4598.28,3.2265,0.12,25.43,1,1,1,1,no,ok
pi5-bpif3,eth_ip,cell-02,1,1,60,64,2,end0,fe:fe:fe:e2:46:d4,417429,417589,229598656596,133117670374,13708865076,72405039,9163.65,5312.94,2.8898,0.21,27.40,1,1,1,1,no,ok
pi5-bpif3,eth_ip,cell-02,2,1,60,64,2,end0,fe:fe:fe:e2:46:d4,415495,415649,210705993688,118843862292,12034433149,97230206,8448.87,4765.39,3.8987,0.13,24.98,1,1,1,1,no,ok
pi5-bpif3,eth_ip,cell-02,3,1,60,64,2,end0,fe:fe:fe:e2:46:d4,493508,493657,271856215988,154009493290,16098035656,60533125,9178.30,5199.61,2.0437,0.15,32.64,1,1,1,1,no,ok
pi5-bpif3,vlan,cell-01,1,0,60,64,2,vlan100,fe:fe:fe:e2:46:d4,760276,760431,0,0,0,0,0.00,0.00,0.0000,0.00,0.00,1,1,1,1,no,ok
pi5-bpif3,vlan,cell-01,2,0,60,64,2,vlan100,fe:fe:fe:e2:46:d4,430600,430753,201765324755,111231175555,11213789958,96548894,7806.68,4303.74,3.7357,0.11,23.75,1,1,1,1,no,ok
pi5-bpif3,vlan,cell-01,3,0,60,64,2,vlan100,fe:fe:fe:e2:46:d4,465722,465879,236140206303,130562996833,13462129424,80150538,8447.83,4670.84,2.8674,0.17,28.05,1,1,1,1,no,ok
pi5-bpif3,vlan,cell-02,1,1,60,64,2,vlan100,fe:fe:fe:e2:46:d4,442590,442744,236589984540,128219066758,13193294994,78076612,8906.19,4826.68,2.9391,0.16,28.04,1,1,1,1,no,ok
