Linux 7.2.0-rc1 (bpi-f3) 	07/12/2026 	_riscv64_	(8 CPU)

05:14:11 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:14:12 AM  all    0.00    0.00    0.25    0.00    2.99   34.45    0.00    0.00    0.00   62.31
05:14:12 AM    0    0.00    0.00    0.99    0.00   22.77   76.24    0.00    0.00    0.00    0.00
05:14:12 AM    1    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
05:14:12 AM    2    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
05:14:12 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:14:12 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:14:12 AM    5    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
05:14:12 AM    6    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
05:14:12 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

05:14:12 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:14:13 AM  all    0.00    0.00    0.00    0.00    3.00   34.46    0.00    0.00    0.00   62.55
05:14:13 AM    0    0.00    0.00    0.00    0.00   23.23   76.77    0.00    0.00    0.00    0.00
05:14:13 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:14:13 AM    2    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
05:14:13 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:14:13 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:14:13 AM    5    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
05:14:13 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:14:13 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

05:14:13 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:14:14 AM  all    0.00    0.00    0.12    0.00    3.12   34.33    0.00    0.00    0.00   62.42
05:14:14 AM    0    0.00    0.00    0.99    0.00   22.77   76.24    0.00    0.00    0.00    0.00
05:14:14 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:14:14 AM    2    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
05:14:14 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:14:14 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:14:14 AM    5    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
05:14:14 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:14:14 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

05:14:14 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
