pair,scenario,cell,rep,sysctl,dur_s,pkt_size,threads,scenario_iface,scenario_mac,pps_sent,pps_recv,cycles,instructions,branches,branch_misses,cycles_per_pkt,ins_per_pkt,branch_miss_per_pkt,recv_sys_pct,recv_soft_pct,rps,rfs,cake,flower,kernel_has_sysctl,status
pi5-pair,eth_ip,cell-01,1,0,60,64,2,end0,2c:cf:67:31:df:b7,370902,371142,233090501,346421182,66232285,428674,10.47,15.56,0.0193,0.05,28.85,1,1,1,1,no,ok
pi5-pair,eth_ip,cell-01,2,0,60,64,2,end0,2c:cf:67:31:df:b7,368724,368820,326431384,508404068,97265897,566027,14.75,22.97,0.0256,0.04,30.97,1,1,1,1,no,ok
pi5-pair,eth_ip,cell-01,3,0,60,64,2,end0,2c:cf:67:31:df:b7,368510,368742,114618937,140256792,26723184,226618,5.18,6.34,0.0102,0.04,29.22,1,1,1,1,no,ok
pi5-pair,eth_ip,cell-02,1,1,60,64,2,end0,2c:cf:67:31:df:b7,368451,368611,494011345,824887018,157419732,906440,22.34,37.30,0.0410,0.03,29.49,1,1,1,1,no,ok
pi5-pair,eth_ip,cell-02,2,1,60,64,2,end0,2c:cf:67:31:df:b7,368445,368659,105998759,129928995,24759303,240975,4.79,5.87,0.0109,0.05,29.73,1,1,1,1,no,ok
pi5-pair,eth_ip,cell-02,3,1,60,64,2,end0,2c:cf:67:31:df:b7,368701,368900,152513216,217443543,41507227,340385,6.89,9.82,0.0154,0.08,31.02,1,1,1,1,no,ok
pi5-pair,vlan,cell-01,1,0,60,64,2,vlan100,2c:cf:67:31:df:b7,368716,368961,236865105,338749458,64460152,462143,10.70,15.30,0.0209,0.05,31.60,1,1,1,1,no,ok
pi5-pair,vlan,cell-01,2,0,60,64,2,vlan100,2c:cf:67:31:df:b7,368178,368392,243075216,339203975,64326487,403156,11.00,15.35,0.0182,0.04,30.86,1,1,1,1,no,ok
pi5-pair,vlan,cell-01,3,0,60,64,2,vlan100,2c:cf:67:31:df:b7,368271,368421,532123094,859022934,163464990,827186,24.07,38.86,0.0374,0.05,31.33,1,1,1,1,no,ok
pi5-pair,vlan,cell-02,1,1,60,64,2,vlan100,2c:cf:67:31:df:b7,368476,368662,351918818,507829053,96134536,523674,15.91,22.96,0.0237,0.05,31.89,1,1,1,1,no,ok
pi5-pair,vlan,cell-02,2,1,60,64,2,vlan100,2c:cf:67:31:df:b7,368295,368453,505909899,828843169,157843711,738748,22.88,37.49,0.0334,0.07,30.47,1,1,1,1,no,ok
pi5-pair,vlan,cell-02,3,1,60,64,2,vlan100,2c:cf:67:31:df:b7,368046,368242,655453067,1051548267,199841721,1012973,29.67,47.59,0.0458,0.05,32.62,1,1,1,1,no,ok
pi5-pair,qinq,cell-01,1,0,60,64,2,cvlan100,2c:cf:67:31:df:b7,368772,368836,720492886,1156843090,220307609,1141551,32.56,52.27,0.0516,0.08,32.78,1,1,1,1,no,ok
pi5-pair,qinq,cell-01,2,0,60,64,2,cvlan100,2c:cf:67:31:df:b7,368660,368814,404234529,616593333,117237611,716628,18.27,27.86,0.0324,0.06,30.94,1,1,1,1,no,ok
pi5-pair,qinq,cell-01,3,0,60,64,2,cvlan100,2c:cf:67:31:df:b7,368676,368666,1332223703,2260337745,431043279,2200685,60.23,102.19,0.0995,0.05,29.67,1,1,1,1,no,ok
pi5-pair,qinq,cell-02,1,1,60,64,2,cvlan100,2c:cf:67:31:df:b7,368597,368751,252525681,338402561,63945994,395561,11.41,15.29,0.0179,0.08,30.70,1,1,1,1,no,ok
pi5-pair,qinq,cell-02,2,1,60,64,2,cvlan100,2c:cf:67:31:df:b7,313698,50095,29885266,34098842,6444947,47866,9.94,11.34,0.0159,0.03,3.39,1,1,1,1,no,ok
pi5-pair,qinq,cell-02,3,1,60,64,2,cvlan100,2c:cf:67:31:df:b7,223337,102297,33338291,42692594,8128959,76956,5.43,6.96,0.0125,0.05,8.28,1,1,1,1,no,ok
pi5-pair,vxlan,cell-01,1,0,60,64,2,vxlan10,56:98:7e:10:9a:8f,0,5,681735,520991,95597,4660,1987.57,1518.92,13.5860,0.04,0.00,1,1,1,1,no,ok
pi5-pair,vxlan,cell-01,2,0,60,64,2,vxlan10,56:98:7e:10:9a:8f,0,5,478307,374536,69141,3079,1485.43,1163.16,9.5621,0.03,0.01,1,1,1,1,no,ok
pi5-pair,vxlan,cell-01,3,0,60,64,2,vxlan10,56:98:7e:10:9a:8f,0,5,547458,460088,84227,3757,1596.09,1341.36,10.9534,0.06,0.00,1,1,1,1,no,ok
pi5-pair,vxlan,cell-02,1,1,60,64,2,vxlan10,56:98:7e:10:9a:8f,0,5,387637,318203,59122,2539,1153.68,947.03,7.5565,0.02,0.00,1,1,1,1,no,ok
pi5-pair,vxlan,cell-02,2,1,60,64,2,vxlan10,56:98:7e:10:9a:8f,0,5,380588,288869,53106,2749,1142.91,867.47,8.2553,0.03,0.00,1,1,1,1,no,ok
pi5-pair,vxlan,cell-02,3,1,60,64,2,vxlan10,56:98:7e:10:9a:8f,0,5,367421,299318,54029,2610,1196.81,974.98,8.5016,0.04,0.01,1,1,1,1,no,ok
pi5-pair,mpls,cell-01,1,0,60,64,2,lo,2c:cf:67:31:df:b7,0,329031,415911359,680315080,129755343,748986,21.07,34.46,0.0379,0.07,27.83,1,1,1,1,no,ok
pi5-pair,mpls,cell-01,2,0,60,64,2,lo,2c:cf:67:31:df:b7,0,335266,176940388,250885521,47691504,339586,8.80,12.47,0.0169,0.05,27.29,1,1,1,1,no,ok
pi5-pair,mpls,cell-01,3,0,60,64,2,lo,2c:cf:67:31:df:b7,0,343469,201364745,274886267,52008226,353895,9.77,13.34,0.0172,0.05,28.45,1,1,1,1,no,ok
pi5-pair,mpls,cell-02,1,1,60,64,2,lo,2c:cf:67:31:df:b7,0,351117,446532075,736483104,140496808,748488,21.20,34.96,0.0355,0.04,29.92,1,1,1,1,no,ok
pi5-pair,mpls,cell-02,2,1,60,64,2,lo,2c:cf:67:31:df:b7,0,365258,882307055,1480678168,282559431,1317573,40.26,67.56,0.0601,0.06,29.75,1,1,1,1,no,ok
pi5-pair,mpls,cell-02,3,1,60,64,2,lo,2c:cf:67:31:df:b7,338085,25791,7675953,11065325,2134883,23144,4.96,7.15,0.0150,0.06,1.78,1,1,1,1,no,ok
pi5-pair,ipip,cell-01,1,0,60,64,2,ipip0,2c:cf:67:31:df:b7,194216,131467,149394318,226224280,43184987,250462,18.94,28.68,0.0318,0.03,9.74,1,1,1,1,no,ok
pi5-pair,ipip,cell-01,2,0,60,64,2,ipip0,2c:cf:67:31:df:b7,181502,143843,35772636,39288167,7491914,89516,4.14,4.55,0.0104,0.05,12.80,1,1,1,1,no,ok
pi5-pair,ipip,cell-01,3,0,60,64,2,ipip0,2c:cf:67:31:df:b7,9661,316269,70801961,88779024,17007822,180718,3.73,4.68,0.0095,0.05,26.65,1,1,1,1,no,ok
pi5-pair,ipip,cell-02,1,1,60,64,2,ipip0,2c:cf:67:31:df:b7,0,330399,608038044,1008409912,192925284,1020613,30.67,50.87,0.0515,0.05,25.85,1,1,1,1,no,ok
