Linux 7.2.0-rc1 (hp3) 	07/12/2026 	_x86_64_	(8 CPU)

10:54:26 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:54:27 AM  all    0.00    0.00   22.07    0.00    0.12   14.96    0.00    0.00    0.00   62.84
10:54:27 AM    0    0.00    0.00    1.00    0.00    0.00   12.00    0.00    0.00    0.00   87.00
10:54:27 AM    1    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
10:54:27 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:54:27 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:54:27 AM    4    0.00    0.00   47.47    0.00    0.00    1.01    0.00    0.00    0.00   51.52
10:54:27 AM    5    0.00    0.00   37.62    0.00    0.00    0.00    0.00    0.00    0.00   62.38
10:54:27 AM    6    0.00    0.00   56.44    0.00    0.00    5.94    0.00    0.00    0.00   37.62
10:54:27 AM    7    0.00    0.00   34.34    0.00    0.00    2.02    0.00    0.00    0.00   63.64

10:54:27 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:54:28 AM  all    0.00    0.00   14.18    0.00    0.25   30.35    0.00    0.00    0.00   55.22
10:54:28 AM    0    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
10:54:28 AM    1    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
10:54:28 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:54:28 AM    3    0.00    0.00   24.75    0.00    0.00   11.88    0.00    0.00    0.00   63.37
10:54:28 AM    4    0.00    0.00   35.64    0.00    0.00   23.76    0.00    0.00    0.00   40.59
10:54:28 AM    5    0.00    0.00   39.00    0.00    0.00    0.00    0.00    0.00    0.00   61.00
10:54:28 AM    6    0.00    0.00   12.87    0.00    0.00    9.90    0.00    0.00    0.00   77.23
10:54:28 AM    7    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01

10:54:28 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:54:29 AM  all    0.00    0.00   18.42    0.00    0.13   21.80    0.00    0.00    0.00   59.65
10:54:29 AM    0    0.00    0.00    0.00    0.00    1.00   88.00    0.00    0.00    0.00   11.00
10:54:29 AM    1    0.00    0.00    1.01    0.00    0.00   37.37    0.00    0.00    0.00   61.62
10:54:29 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:54:29 AM    3    0.00    0.00   15.00    0.00    0.00   10.00    0.00    0.00    0.00   75.00
10:54:29 AM    4    0.00    0.00   37.37    0.00    0.00    0.00    0.00    0.00    0.00   62.63
10:54:29 AM    5    0.00    0.00   74.26    0.00    0.00   22.77    0.00    0.00    0.00    2.97
10:54:29 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:54:29 AM    7    0.00    0.00   19.19    0.00    0.00   16.16    0.00    0.00    0.00   64.65

10:54:29 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:54:30 AM  all    0.12    0.00   14.00    0.00    0.37   24.16    0.00    0.00    0.00   61.34
10:54:30 AM    0    0.98    0.00    1.96    0.00    0.98   14.71    0.00    0.00    0.00   81.37
10:54:30 AM    1    0.00    0.00    0.00    0.00    1.96   98.04    0.00    0.00    0.00    0.00
10:54:30 AM    2    0.00    0.00   19.00    0.00    0.00   16.00    0.00    0.00    0.00   65.00
10:54:30 AM    3    0.00    0.00   13.00    0.00    0.00   11.00    0.00    0.00    0.00   76.00
10:54:30 AM    4    0.00    0.00   39.22    0.00    0.00   31.37    0.00    0.00    0.00   29.41
10:54:30 AM    5    0.00    0.00    6.00    0.00    0.00    4.00    0.00    0.00    0.00   90.00
10:54:30 AM    6    0.00    0.00   12.00    0.00    0.00    3.00    0.00    0.00    0.00   85.00
10:54:30 AM    7    0.00    0.00   20.79    0.00    0.00   13.86    0.00    0.00    0.00   65.35

10:54:30 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:54:31 AM  all    0.00    0.00   14.04    0.00    0.13   28.70    0.00    0.00    0.00   57.14
10:54:31 AM    0    0.00    0.00    0.00    0.00    1.00   78.00    0.00    0.00    0.00   21.00
