Linux 7.2.0-rc1 (hp3) 	07/12/2026 	_x86_64_	(8 CPU)

11:32:48 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:32:49 AM  all    0.00    0.00   11.24    0.00    0.37   31.46    0.00    0.00    0.00   56.93
11:32:49 AM    0    0.00    0.00    0.00    0.00    1.01   76.77    0.00    0.00    0.00   22.22
11:32:49 AM    1    0.00    0.00    0.00    0.00    1.00   79.00    0.00    0.00    0.00   20.00
11:32:49 AM    2    0.00    0.00   12.00    0.00    0.00   15.00    0.00    0.00    0.00   73.00
11:32:49 AM    3    0.00    0.00   22.77    0.00    0.00   12.87    0.00    0.00    0.00   64.36
11:32:49 AM    4    0.00    0.00   25.00    0.00    0.00   33.00    0.00    0.00    0.00   42.00
11:32:49 AM    5    0.00    0.00   16.67    0.00    0.98   17.65    0.00    0.00    0.00   64.71
11:32:49 AM    6    0.00    0.00   13.13    0.00    0.00   18.18    0.00    0.00    0.00   68.69
11:32:49 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:32:49 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:32:50 AM  all    0.00    0.00   13.11    0.00    0.25   31.59    0.00    0.00    0.00   55.06
11:32:50 AM    0    0.00    0.00    0.00    0.00    1.00   76.00    0.00    0.00    0.00   23.00
11:32:50 AM    1    0.00    0.00    0.99    0.00    0.99   94.06    0.00    0.00    0.00    3.96
11:32:50 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:32:50 AM    3    0.00    0.00   12.87    0.00    0.00    7.92    0.00    0.00    0.00   79.21
11:32:50 AM    4    0.00    0.00   21.21    0.00    0.00   17.17    0.00    0.00    0.00   61.62
11:32:50 AM    5    0.00    0.00   33.00    0.00    0.00   22.00    0.00    0.00    0.00   45.00
11:32:50 AM    6    0.00    0.00   21.00    0.00    0.00   17.00    0.00    0.00    0.00   62.00
11:32:50 AM    7    0.00    0.00   16.00    0.00    0.00   18.00    0.00    0.00    0.00   66.00

11:32:50 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:32:51 AM  all    0.00    0.00   17.76    0.00    0.37   30.68    0.00    0.00    0.00   51.18
11:32:51 AM    0    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
11:32:51 AM    1    0.00    0.00    0.00    0.00    1.98   98.02    0.00    0.00    0.00    0.00
11:32:51 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:32:51 AM    3    0.00    0.00   29.00    0.00    0.00   19.00    0.00    0.00    0.00   52.00
11:32:51 AM    4    0.00    0.00   60.78    0.00    0.00   19.61    0.00    0.00    0.00   19.61
11:32:51 AM    5    0.00    0.00   45.00    0.00    0.00    7.00    0.00    0.00    0.00   48.00
11:32:51 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:32:51 AM    7    0.00    0.00    6.93    0.00    0.00    2.97    0.00    0.00    0.00   90.10

11:32:51 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:32:52 AM  all    0.00    0.00   18.16    0.00    0.25   30.60    0.00    0.00    0.00   51.00
11:32:52 AM    0    0.00    0.00    0.99    0.00    0.99   98.02    0.00    0.00    0.00    0.00
11:32:52 AM    1    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
11:32:52 AM    2    0.00    0.00   20.79    0.00    0.00   13.86    0.00    0.00    0.00   65.35
11:32:52 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:32:52 AM    4    0.00    0.00   15.00    0.00    0.00   10.00    0.00    0.00    0.00   75.00
11:32:52 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:32:52 AM    6    0.00    0.00   35.64    0.00    0.00    0.99    0.00    0.00    0.00   63.37
11:32:52 AM    7    0.00    0.00   73.00    0.00    0.00   23.00    0.00    0.00    0.00    4.00

11:32:52 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:32:53 AM  all    0.13    0.00   13.87    0.00    0.25   26.99    0.00    0.00    0.00   58.76
11:32:53 AM    0    1.00    0.00    1.00    0.00    1.00   62.00    0.00    0.00    0.00   35.00
11:32:53 AM    1    0.00    0.00    0.00    0.00    1.01   77.78    0.00    0.00    0.00   21.21
11:32:53 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:32:53 AM    3    0.00    0.00   16.16    0.00    0.00   18.18    0.00    0.00    0.00   65.66
11:32:53 AM    4    0.00    0.00   21.43    0.00    0.00    1.02    0.00    0.00    0.00   77.55
11:32:53 AM    5    0.00    0.00   55.56    0.00    0.00   37.37    0.00    0.00    0.00    7.07
11:32:53 AM    6    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:32:53 AM    7    0.00    0.00   16.16    0.00    0.00   19.19    0.00    0.00    0.00   64.65

11:32:53 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:32:54 AM  all    0.00    0.00   13.81    0.00    0.25   31.22    0.00    0.00    0.00   54.73
11:32:54 AM    0    0.00    0.00    0.00    0.00    1.00   84.00    0.00    0.00    0.00   15.00
11:32:54 AM    1    0.00    0.00    0.99    0.00    0.99   98.02    0.00    0.00    0.00    0.00
11:32:54 AM    2    0.00    0.00   23.00    0.00    0.00   12.00    0.00    0.00    0.00   65.00
11:32:54 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:32:54 AM    4    0.00    0.00   44.00    0.00    0.00   37.00    0.00    0.00    0.00   19.00
11:32:54 AM    5    0.00    0.00   21.78    0.00    0.00    3.96    0.00    0.00    0.00   74.26
11:32:54 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:32:54 AM    7    0.00    0.00   20.59    0.00    0.00   14.71    0.00    0.00    0.00   64.71

