Linux 7.2.0-rc1 (hp3) 	07/12/2026 	_x86_64_	(8 CPU)

11:22:18 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:22:19 AM  all    0.12    0.00   11.99    0.00    0.25   29.71    0.00    0.00    0.00   57.93
11:22:19 AM    0    0.00    0.00    0.00    0.00    1.01   58.59    0.00    0.00    0.00   40.40
11:22:19 AM    1    0.99    0.00    0.99    0.00    0.99   89.11    0.00    0.00    0.00    7.92
11:22:19 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:22:19 AM    3    0.00    0.00   25.74    0.00    0.00   30.69    0.00    0.00    0.00   43.56
11:22:19 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:22:19 AM    5    0.00    0.00   27.00    0.00    0.00   22.00    0.00    0.00    0.00   51.00
11:22:19 AM    6    0.00    0.00    4.95    0.00    0.00    4.95    0.00    0.00    0.00   90.10
11:22:19 AM    7    0.00    0.00   37.37    0.00    0.00   32.32    0.00    0.00    0.00   30.30

11:22:19 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:22:20 AM  all    0.00    0.00   12.45    0.00    0.25   30.01    0.00    0.00    0.00   57.29
11:22:20 AM    0    0.00    0.00    0.99    0.00    0.00   52.48    0.00    0.00    0.00   46.53
11:22:20 AM    1    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
11:22:20 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:22:20 AM    3    0.00    0.00   43.43    0.00    1.01   45.45    0.00    0.00    0.00   10.10
11:22:20 AM    4    0.00    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   95.05
11:22:20 AM    5    0.00    0.00   26.00    0.00    0.00   29.00    0.00    0.00    0.00   45.00
11:22:20 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:22:20 AM    7    0.00    0.00   25.00    0.00    0.00   15.00    0.00    0.00    0.00   60.00

11:22:20 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:22:21 AM  all    0.00    0.00   12.34    0.00    0.25   33.17    0.00    0.00    0.00   54.24
11:22:21 AM    0    0.00    0.00    0.00    0.00    1.00   78.00    0.00    0.00    0.00   21.00
11:22:21 AM    1    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
11:22:21 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:22:21 AM    3    0.00    0.00   34.00    0.00    0.00   29.00    0.00    0.00    0.00   37.00
11:22:21 AM    4    0.00    0.00   19.00    0.00    0.00   12.00    0.00    0.00    0.00   69.00
11:22:21 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:22:21 AM    6    0.00    0.00   15.84    0.00    0.00   12.87    0.00    0.00    0.00   71.29
11:22:21 AM    7    0.00    0.00   29.70    0.00    0.00   34.65    0.00    0.00    0.00   35.64

11:22:21 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:22:22 AM  all    0.00    0.00   11.17    0.00    0.25   30.11    0.00    0.00    0.00   58.47
11:22:22 AM    0    0.00    0.00    0.00    0.00    1.00   73.00    0.00    0.00    0.00   26.00
11:22:22 AM    1    0.00    0.00    0.00    0.00    1.00   72.00    0.00    0.00    0.00   27.00
11:22:22 AM    2    0.00    0.00   18.00    0.00    0.00   17.00    0.00    0.00    0.00   65.00
11:22:22 AM    3    0.00    0.00    9.00    0.00    0.00   14.00    0.00    0.00    0.00   77.00
11:22:22 AM    4    0.00    0.00   25.25    0.00    0.00   26.26    0.00    0.00    0.00   48.48
11:22:22 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:22:22 AM    6    0.00    0.00   37.76    0.00    0.00   38.78    0.00    0.00    0.00   23.47
11:22:22 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:22:22 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:22:23 AM  all    0.00    0.00   13.18    0.00    0.37   31.03    0.00    0.00    0.00   55.42
11:22:23 AM    0    0.00    0.00    0.99    0.00    1.98   97.03    0.00    0.00    0.00    0.00
11:22:23 AM    1    0.00    0.00    2.97    0.00    0.99   69.31    0.00    0.00    0.00   26.73
11:22:23 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:22:23 AM    3    0.00    0.00   31.00    0.00    0.00   27.00    0.00    0.00    0.00   42.00
11:22:23 AM    4    0.00    0.00    9.52    0.00    0.00    7.62    0.00    0.00    0.00   82.86
11:22:23 AM    5    0.00    0.00   21.78    0.00    0.00   13.86    0.00    0.00    0.00   64.36
11:22:23 AM    6    0.00    0.00   35.29    0.00    0.00   32.35    0.00    0.00    0.00   32.35
11:22:23 AM    7    0.00    0.00    3.96    0.00    0.00    1.98    0.00    0.00    0.00   94.06

11:22:23 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:22:24 AM  all    0.00    0.00   11.89    0.13    0.50   30.79    0.00    0.00    0.00   56.70
11:22:24 AM    0    0.00    0.00    1.00    0.00    1.00   74.00    0.00    0.00    0.00   24.00
11:22:24 AM    1    0.00    0.00    0.00    0.99    0.99   78.22    0.00    0.00    0.00   19.80
11:22:24 AM    2    0.00    0.00   18.00    0.00    0.00   17.00    0.00    0.00    0.00   65.00
11:22:24 AM    3    0.00    0.00    9.90    0.00    0.00   17.82    0.00    0.00    0.00   72.28
11:22:24 AM    4    0.00    0.00   15.46    0.00    1.03   15.46    0.00    0.00    0.00   68.04
11:22:24 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:22:24 AM    6    0.00    0.00   20.00    0.00    1.00   15.00    0.00    0.00    0.00   64.00
11:22:24 AM    7    0.00    0.00   31.00    0.00    0.00   28.00    0.00    0.00    0.00   41.00

11:22:24 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:22:25 AM  all    0.12    0.00   17.19    0.12    0.12   23.91    0.00    0.00    0.00   58.53
11:22:25 AM    0    0.99    0.00    0.99    0.99    0.00   38.61    0.00    0.00    0.00   58.42
11:22:25 AM    1    0.00    0.00    0.00    0.00    1.01   98.99    0.00    0.00    0.00    0.00
11:22:25 AM    2    0.00    0.00   51.49    0.00    0.00    5.94    0.00    0.00    0.00   42.57
11:22:25 AM    3    0.00    0.00   54.00    0.00    0.00   18.00    0.00    0.00    0.00   28.00
11:22:25 AM    4    0.00    0.00   27.45    0.00    0.00   27.45    0.00    0.00    0.00   45.10
11:22:25 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
