Linux 7.2.0-rc1 (hp3) 	07/12/2026 	_x86_64_	(8 CPU)

11:08:21 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:08:22 AM  all    0.00    0.00   12.08    0.00    0.25   30.39    0.00    0.00    0.00   57.29
11:08:22 AM    0    0.00    0.00    0.99    0.00    0.99   53.47    0.00    0.00    0.00   44.55
11:08:22 AM    1    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
11:08:22 AM    2    0.00    0.00   22.00    0.00    0.00   13.00    0.00    0.00    0.00   65.00
11:08:22 AM    3    0.00    0.00   29.29    0.00    0.00   29.29    0.00    0.00    0.00   41.41
11:08:22 AM    4    0.00    0.00   16.83    0.00    0.00   17.82    0.00    0.00    0.00   65.35
11:08:22 AM    5    0.00    0.00   12.87    0.00    0.00   11.88    0.00    0.00    0.00   75.25
11:08:22 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:08:22 AM    7    0.00    0.00   15.00    0.00    0.00   19.00    0.00    0.00    0.00   66.00

11:08:22 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:08:23 AM  all    0.00    0.00   21.39    0.00    0.25   24.75    0.00    0.00    0.00   53.61
11:08:23 AM    0    0.00    0.00    0.00    0.00    1.00   77.00    0.00    0.00    0.00   22.00
11:08:23 AM    1    0.00    0.00    0.99    0.00    0.99   98.02    0.00    0.00    0.00    0.00
11:08:23 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:08:23 AM    3    0.00    0.00   15.84    0.00    0.00    9.90    0.00    0.00    0.00   74.26
11:08:23 AM    4    0.00    0.00   35.64    0.00    0.00    1.98    0.00    0.00    0.00   62.38
11:08:23 AM    5    0.00    0.00   44.00    0.00    0.00   11.00    0.00    0.00    0.00   45.00
11:08:23 AM    6    0.00    0.00   37.00    0.00    0.00    0.00    0.00    0.00    0.00   63.00
11:08:23 AM    7    0.00    0.00   37.62    0.00    0.00    0.00    0.00    0.00    0.00   62.38

11:08:23 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:08:24 AM  all    0.00    0.00   12.84    0.12    0.25   21.57    0.00    0.00    0.00   65.21
11:08:24 AM    0    0.00    0.00    0.99    0.99    0.99   73.27    0.00    0.00    0.00   23.76
11:08:24 AM    1    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
11:08:24 AM    2    0.00    0.00   33.00    0.00    0.00    0.00    0.00    0.00    0.00   67.00
11:08:24 AM    3    0.00    0.00   30.69    0.00    0.00    0.00    0.00    0.00    0.00   69.31
11:08:24 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:08:24 AM    5    0.00    0.00   38.00    0.00    0.00    0.00    0.00    0.00    0.00   62.00
11:08:24 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:08:24 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:08:24 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:08:25 AM  all    0.00    0.00   16.75    0.00    0.38   30.88    0.00    0.00    0.00   52.00
11:08:25 AM    0    0.00    0.00    1.00    0.00    1.00   93.00    0.00    0.00    0.00    5.00
11:08:25 AM    1    0.00    0.00    1.00    0.00    1.00   98.00    0.00    0.00    0.00    0.00
11:08:25 AM    2    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
11:08:25 AM    3    0.00    0.00   23.23    0.00    0.00   12.12    0.00    0.00    0.00   64.65
11:08:25 AM    4    0.00    0.00   20.00    0.00    1.00   15.00    0.00    0.00    0.00   64.00
11:08:25 AM    5    0.00    0.00   20.00    0.00    0.00   15.00    0.00    0.00    0.00   65.00
11:08:25 AM    6    0.00    0.00   19.80    0.00    0.00    0.99    0.00    0.00    0.00   79.21
11:08:25 AM    7    0.00    0.00   44.00    0.00    0.00   13.00    0.00    0.00    0.00   43.00

11:08:25 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:08:26 AM  all    0.00    0.00   15.51    0.12    0.25   20.10    0.00    0.00    0.00   64.02
11:08:26 AM    0    0.00    0.00    0.00    0.99    0.99   45.54    0.00    0.00    0.00   52.48
11:08:26 AM    1    0.00    0.00    0.00    0.00    0.99   77.23    0.00    0.00    0.00   21.78
11:08:26 AM    2    0.00    0.00   23.76    0.00    0.00   19.80    0.00    0.00    0.00   56.44
11:08:26 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:08:26 AM    4    0.00    0.00   39.00    0.00    0.00    0.00    0.00    0.00    0.00   61.00
11:08:26 AM    5    0.00    0.00    9.00    0.00    0.00    1.00    0.00    0.00    0.00   90.00
11:08:26 AM    6    0.00    0.00   17.82    0.00    0.00    0.00    0.00    0.00    0.00   82.18
11:08:26 AM    7    0.00    0.00   34.31    0.00    0.00   16.67    0.00    0.00    0.00   49.02

11:08:26 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:08:27 AM  all    0.00    0.00   11.39    0.00    0.25   29.79    0.00    0.00    0.00   58.57
11:08:27 AM    0    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
11:08:27 AM    1    0.00    0.00    0.00    0.00    1.00   75.00    0.00    0.00    0.00   24.00
11:08:27 AM    2    0.00    0.00   28.28    0.00    0.00   32.32    0.00    0.00    0.00   39.39
11:08:27 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
