Linux 7.2.0-rc1 (hp3) 	07/12/2026 	_x86_64_	(8 CPU)

11:04:50 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:04:51 AM  all    0.12    0.00   16.62    0.00    0.25   22.50    0.00    0.00    0.00   60.50
11:04:51 AM    0    0.00    0.00    2.00    0.00    0.00   50.00    0.00    0.00    0.00   48.00
11:04:51 AM    1    0.98    0.00    0.98    0.00    1.96   96.08    0.00    0.00    0.00    0.00
11:04:51 AM    2    0.00    0.00   48.48    0.00    0.00   16.16    0.00    0.00    0.00   35.35
11:04:51 AM    3    0.00    0.00   37.37    0.00    0.00    0.00    0.00    0.00    0.00   62.63
11:04:51 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:04:51 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:04:51 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:04:51 AM    7    0.00    0.00   45.00    0.00    0.00   16.00    0.00    0.00    0.00   39.00

11:04:51 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:04:52 AM  all    0.00    0.00   12.27    0.00    0.25   29.41    0.00    0.00    0.00   58.07
11:04:52 AM    0    0.00    0.00    0.00    0.00    1.02   58.16    0.00    0.00    0.00   40.82
11:04:52 AM    1    0.00    0.00    0.00    0.00    1.00   93.00    0.00    0.00    0.00    6.00
11:04:52 AM    2    0.00    0.00    9.90    0.00    0.00    9.90    0.00    0.00    0.00   80.20
11:04:52 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:04:52 AM    4    0.00    0.00   19.00    0.00    0.00   16.00    0.00    0.00    0.00   65.00
11:04:52 AM    5    0.00    0.00   27.00    0.00    0.00   27.00    0.00    0.00    0.00   46.00
11:04:52 AM    6    0.00    0.00   38.00    0.00    0.00   32.00    0.00    0.00    0.00   30.00
11:04:52 AM    7    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00

11:04:52 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:04:53 AM  all    0.00    0.00   13.84    0.12    0.49   32.26    0.00    0.00    0.00   53.28
11:04:53 AM    0    0.00    0.00    0.00    0.00    1.96   98.04    0.00    0.00    0.00    0.00
11:04:53 AM    1    0.00    0.00    0.98    0.98    0.98   81.37    0.00    0.00    0.00   15.69
11:04:53 AM    2    0.00    0.00   32.00    0.00    0.00   26.00    0.00    0.00    0.00   42.00
11:04:53 AM    3    0.00    0.00   21.57    0.00    0.00   13.73    0.00    0.00    0.00   64.71
11:04:53 AM    4    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00   99.01
11:04:53 AM    5    0.00    0.00   29.00    0.00    0.00   21.00    0.00    0.00    0.00   50.00
11:04:53 AM    6    0.00    0.00    3.96    0.00    0.00    4.95    0.00    0.00    0.00   91.09
11:04:53 AM    7    0.00    0.00   23.76    0.00    0.00   11.88    0.00    0.00    0.00   64.36

11:04:53 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:04:54 AM  all    0.00    0.00   11.74    0.00    0.25   33.71    0.00    0.00    0.00   54.31
11:04:54 AM    0    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
11:04:54 AM    1    0.00    0.00    0.00    0.00    1.00   77.00    0.00    0.00    0.00   22.00
11:04:54 AM    2    0.00    0.00   31.00    0.00    0.00   30.00    0.00    0.00    0.00   39.00
11:04:54 AM    3    0.00    0.00   18.00    0.00    0.00   15.00    0.00    0.00    0.00   67.00
11:04:54 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:04:54 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:04:54 AM    6    0.00    0.00   29.00    0.00    0.00   31.00    0.00    0.00    0.00   40.00
11:04:54 AM    7    0.00    0.00   16.00    0.00    0.00   18.00    0.00    0.00    0.00   66.00

11:04:54 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:04:55 AM  all    0.00    0.00   10.88    0.00    0.25   25.87    0.00    0.00    0.00   63.00
11:04:55 AM    0    0.00    0.00    1.00    0.00    1.00   98.00    0.00    0.00    0.00    0.00
11:04:55 AM    1    0.00    0.00    0.99    0.00    0.00   11.88    0.00    0.00    0.00   87.13
11:04:55 AM    2    0.00    0.00   15.00    0.00    0.00   19.00    0.00    0.00    0.00   66.00
11:04:55 AM    3    0.00    0.00   27.72    0.00    0.99   29.70    0.00    0.00    0.00   41.58
11:04:55 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:04:55 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:04:55 AM    6    0.00    0.00   25.25    0.00    0.00   30.30    0.00    0.00    0.00   44.44
11:04:55 AM    7    0.00    0.00   17.00    0.00    0.00   18.00    0.00    0.00    0.00   65.00

11:04:55 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:04:56 AM  all    0.00    0.00   12.19    0.12    0.37   25.25    0.00    0.00    0.00   62.06
11:04:56 AM    0    0.00    0.00    0.00    0.00    1.00   80.00    0.00    0.00    0.00   19.00
11:04:56 AM    1    0.00    0.00    0.00    0.99    0.99   64.36    0.00    0.00    0.00   33.66
11:04:56 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:04:56 AM    3    0.00    0.00   29.29    0.00    0.00   29.29    0.00    0.00    0.00   41.41
11:04:56 AM    4    0.00    0.00    6.93    0.00    0.00    4.95    0.00    0.00    0.00   88.12
11:04:56 AM    5    0.00    0.00   55.45    0.00    0.99   16.83    0.00    0.00    0.00   26.73
11:04:56 AM    6    0.00    0.00    5.94    0.00    0.00    6.93    0.00    0.00    0.00   87.13
11:04:56 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:04:56 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:04:57 AM  all    0.00    0.00   20.60    0.00    0.25   26.22    0.00    0.00    0.00   52.93
11:04:57 AM    0    0.00    0.00    0.00    0.00    1.00   79.00    0.00    0.00    0.00   20.00
11:04:57 AM    1    0.00    0.00    0.00    0.00    1.01   98.99    0.00    0.00    0.00    0.00
11:04:57 AM    2    0.00    0.00   69.00    0.00    0.00    5.00    0.00    0.00    0.00   26.00
11:04:57 AM    3    0.00    0.00   82.35    0.00    0.00   13.73    0.00    0.00    0.00    3.92
11:04:57 AM    4    0.00    0.00   12.00    0.00    0.00   13.00    0.00    0.00    0.00   75.00
11:04:57 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:04:57 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:04:57 AM    7    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00

11:04:57 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:04:58 AM  all    0.00    0.00   12.41    0.00    0.37   32.75    0.00    0.00    0.00   54.47
11:04:58 AM    0    0.00    0.00    1.00    0.00    1.00   98.00    0.00    0.00    0.00    0.00
11:04:58 AM    1    0.00    0.00    0.00    0.00    0.99   76.24    0.00    0.00    0.00   22.77
11:04:58 AM    2    0.00    0.00   12.87    0.00    0.00   11.88    0.00    0.00    0.00   75.25
11:04:58 AM    3    0.00    0.00   17.17    0.00    0.00   17.17    0.00    0.00    0.00   65.66
11:04:58 AM    4    0.00    0.00   14.71    0.00    0.00   16.67    0.00    0.00    0.00   68.63
11:04:58 AM    5    0.00    0.00   15.69    0.00    0.00   19.61    0.00    0.00    0.00   64.71
11:04:58 AM    6    0.00    0.00   17.82    0.00    0.99    8.91    0.00    0.00    0.00   72.28
