pair,scenario,cell,rep,sysctl,dur_s,pkt_size,threads,scenario_iface,scenario_mac,pps_sent,pps_recv,cycles,instructions,branches,branch_misses,cycles_per_pkt,ins_per_pkt,branch_miss_per_pkt,recv_sys_pct,recv_soft_pct,rps,rfs,cake,flower,kernel_has_sysctl,status
hp2-hp5,eth_ip,cell-01,1,0,60,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4273110,1358231,542852859486,545144021488,96697013374,148141650,6661.27,6689.38,1.8178,12.56,19.61,1,1,1,1,yes,ok
hp2-hp5,eth_ip,cell-01,2,0,60,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4248820,1352056,548989884036,548511884442,97340528409,144163060,6767.34,6761.45,1.7771,12.55,19.84,1,1,1,1,yes,ok
hp2-hp5,eth_ip,cell-01,3,0,60,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4218434,1371340,540072232967,546300640111,96844899595,146448617,6563.80,6639.50,1.7799,12.55,19.21,1,1,1,1,yes,ok
hp2-hp5,eth_ip,cell-02,1,1,60,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4231624,1391035,544189317825,546772699004,95709174340,147455893,6520.19,6551.15,1.7667,12.57,19.59,1,1,1,1,yes,ok
hp2-hp5,eth_ip,cell-02,2,1,60,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4228700,1386154,546574599114,546429369041,95683109950,147062837,6571.83,6570.09,1.7682,12.56,19.75,1,1,1,1,yes,ok
hp2-hp5,eth_ip,cell-02,3,1,60,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4229232,1364582,552829545750,549430047356,96316191604,149326713,6752.12,6710.60,1.8238,12.55,20.08,1,1,1,1,yes,ok
hp2-hp5,vlan,cell-01,1,0,60,64,2,vlan100,f8:f2:1e:38:ab:80,4240638,1382850,553622290175,547634228992,95741100482,152572219,6672.48,6600.30,1.8389,12.56,20.14,1,1,1,1,yes,ok
hp2-hp5,vlan,cell-01,2,0,60,64,2,vlan100,f8:f2:1e:38:ab:80,4237260,1375405,560741216034,548710907667,95995884032,149344884,6794.86,6649.08,1.8097,12.55,20.53,1,1,1,1,yes,ok
hp2-hp5,vlan,cell-01,3,0,60,64,2,vlan100,f8:f2:1e:38:ab:80,4232363,1446356,541519026365,547274576740,95442000692,149357327,6240.04,6306.36,1.7211,12.55,19.29,1,1,1,1,yes,ok
hp2-hp5,vlan,cell-02,1,1,60,64,2,vlan100,f8:f2:1e:38:ab:80,4195168,1371067,560300880486,552559744096,96695858632,151204705,6811.00,6716.90,1.8380,12.56,20.45,1,1,1,1,yes,ok
