pair,scenario,cell,rep,sysctl,dur_s,pkt_size,threads,scenario_iface,scenario_mac,pps_sent,pps_recv,cycles,instructions,branches,branch_misses,cycles_per_pkt,ins_per_pkt,branch_miss_per_pkt,recv_sys_pct,recv_soft_pct,rps,rfs,cake,flower,kernel_has_sysctl,status
pi5-bpif3,eth_ip,cell-01,1,0,60,64,2,end0,fe:fe:fe:e2:46:d4,102070,313911,141909225045,76266713847,7806679460,60113164,7534.45,4049.26,3.1916,0.12,16.69,1,1,1,1,no,ok
pi5-bpif3,eth_ip,cell-01,2,0,60,64,2,end0,fe:fe:fe:e2:46:d4,0,223548,125971933915,70074591583,7125762784,70248343,9391.84,5224.41,5.2374,0.12,15.04,1,1,1,1,no,ok
pi5-bpif3,eth_ip,cell-01,3,0,60,64,2,end0,fe:fe:fe:e2:46:d4,0,241723,144273912785,79586156069,8113590328,77354618,9947.60,5487.42,5.3336,0.12,16.82,1,1,1,1,no,ok
pi5-bpif3,eth_ip,cell-02,1,1,60,64,2,end0,fe:fe:fe:e2:46:d4,0,231090,116322548770,62651052526,6172906970,76718450,8389.40,4518.51,5.5331,0.15,13.53,1,1,1,1,no,ok
pi5-bpif3,eth_ip,cell-02,2,1,60,64,2,end0,fe:fe:fe:e2:46:d4,0,223484,122179741800,66619625131,6669459404,65681034,9111.72,4968.25,4.8983,0.15,14.55,1,1,1,1,no,ok
pi5-bpif3,eth_ip,cell-02,3,1,60,64,2,end0,fe:fe:fe:e2:46:d4,0,215810,125200753051,63921156709,6413264320,60952120,9669.05,4936.53,4.7072,0.14,7.66,1,1,1,1,no,ok
pi5-bpif3,vlan,cell-01,1,0,60,64,2,vlan100,fe:fe:fe:e2:46:d4,0,70749,12227121089,6989258319,591610428,22864316,2880.38,1646.48,5.3862,0.09,1.12,1,1,1,1,no,ok
pi5-bpif3,vlan,cell-01,2,0,60,64,2,vlan100,fe:fe:fe:e2:46:d4,328889,43040,1015906,298098,20515,3711,0.39,0.12,0.0014,0.13,0.02,1,1,1,1,no,ok
pi5-bpif3,vlan,cell-01,3,0,60,64,2,vlan100,fe:fe:fe:e2:46:d4,335044,32993,21308316789,11512307802,1206596422,5434345,10763.97,5815.48,2.7452,0.09,2.39,1,1,1,1,no,ok
pi5-bpif3,vlan,cell-02,1,1,60,64,2,vlan100,fe:fe:fe:e2:46:d4,343170,26492,15572514932,8060700606,842766208,3678174,9796.81,5071.06,2.3140,0.13,1.66,1,1,1,1,no,ok
pi5-bpif3,vlan,cell-02,2,1,60,64,2,vlan100,fe:fe:fe:e2:46:d4,350965,18999,9143786219,5093163325,535976706,2155224,8021.02,4467.77,1.8906,0.09,0.92,1,1,1,1,no,ok
pi5-bpif3,vlan,cell-02,3,1,60,64,2,vlan100,fe:fe:fe:e2:46:d4,365083,11295,2053725,554851,36757,8024,3.03,0.82,0.0118,0.09,0.02,1,1,1,1,no,ok
pi5-bpif3,qinq,cell-01,1,0,60,64,2,cvlan100,fe:fe:fe:e2:46:d4,131265,338308,229846023793,118730073415,12210257842,76921074,11323.29,5849.20,3.7895,0.16,12.81,1,1,1,1,no,ok
pi5-bpif3,qinq,cell-01,2,0,60,64,2,cvlan100,fe:fe:fe:e2:46:d4,143631,194433,116401810300,60989337852,6231193950,44159931,9977.85,5227.95,3.7853,0.15,14.62,1,1,1,1,no,ok
pi5-bpif3,qinq,cell-01,3,0,60,64,2,cvlan100,fe:fe:fe:e2:46:d4,316044,181709,6269195590,3019776281,313533342,1448163,575.02,276.98,0.1328,0.12,11.19,1,1,1,1,no,ok
pi5-bpif3,qinq,cell-02,1,1,60,64,2,cvlan100,fe:fe:fe:e2:46:d4,330243,9882,1965793,578905,36425,7042,3.32,0.98,0.0119,0.08,0.02,1,1,1,1,no,ok
pi5-bpif3,qinq,cell-02,2,1,60,64,2,cvlan100,fe:fe:fe:e2:46:d4,336372,31610,20480082816,10181368558,1059676820,5054584,10798.10,5368.11,2.6650,0.13,2.24,1,1,1,1,no,ok
pi5-bpif3,qinq,cell-02,3,1,60,64,2,cvlan100,fe:fe:fe:e2:46:d4,0,25564,1531551,394888,21543,5731,1.00,0.26,0.0037,0.10,0.02,1,1,1,1,no,ok
pi5-bpif3,vxlan,cell-01,1,0,60,64,2,vxlan10,5e:3e:67:77:dc:90,0,5,1647519,418558,24095,5764,5084.94,1291.85,17.7901,0.12,0.02,1,1,1,1,no,ok
pi5-bpif3,vxlan,cell-01,2,0,60,64,2,vxlan10,5e:3e:67:77:dc:90,0,5,1146468,297195,14035,4069,3313.49,858.95,11.7601,0.11,0.02,1,1,1,1,no,ok
pi5-bpif3,vxlan,cell-01,3,0,60,64,2,vxlan10,5e:3e:67:77:dc:90,0,5,3215852,868905,58403,11631,10112.74,2732.41,36.5755,0.11,0.02,1,1,1,1,no,ok
pi5-bpif3,vxlan,cell-02,1,1,60,64,2,vxlan10,5e:3e:67:77:dc:90,0,5,1425982,367391,22318,5081,4442.31,1144.52,15.8287,0.09,0.02,1,1,1,1,no,ok
pi5-bpif3,vxlan,cell-02,2,1,60,64,2,vxlan10,5e:3e:67:77:dc:90,0,5,1733171,531229,43086,5254,5608.97,1719.19,17.0032,0.09,0.02,1,1,1,1,no,ok
pi5-bpif3,vxlan,cell-02,3,1,60,64,2,vxlan10,5e:3e:67:77:dc:90,0,5,1450856,406753,24811,4854,4491.81,1259.30,15.0279,0.10,0.02,1,1,1,1,no,ok
pi5-bpif3,mpls,cell-01,1,0,60,64,2,lo,fe:fe:fe:e2:46:d4,0,324390,1220559,300390,15909,4615,0.06,0.02,0.0002,0.11,0.02,1,1,1,1,no,ok
pi5-bpif3,mpls,cell-01,2,0,60,64,2,lo,fe:fe:fe:e2:46:d4,0,33158,18074877257,9142777684,927236350,7583139,9085.09,4595.49,3.8116,0.10,2.00,1,1,1,1,no,ok
pi5-bpif3,mpls,cell-01,3,0,60,64,2,lo,fe:fe:fe:e2:46:d4,0,26030,12239020668,6287447091,653710998,2948346,7836.41,4025.73,1.8878,0.12,1.37,1,1,1,1,no,ok
pi5-bpif3,mpls,cell-02,1,1,60,64,2,lo,fe:fe:fe:e2:46:d4,0,14686,4852478865,2839429472,286985517,1491164,5506.79,3222.30,1.6922,0.09,0.46,1,1,1,1,no,ok
pi5-bpif3,mpls,cell-02,2,1,60,64,2,lo,fe:fe:fe:e2:46:d4,0,7527,663486,182815,9776,2647,1.47,0.40,0.0059,0.11,0.02,1,1,1,1,no,ok
pi5-bpif3,mpls,cell-02,3,1,60,64,2,lo,fe:fe:fe:e2:46:d4,414744,414941,279912035087,140174273242,14497914493,65035718,11243.04,5630.28,2.6122,0.22,33.60,1,1,1,1,no,ok
pi5-bpif3,ipip,cell-01,1,0,60,64,2,ipip0,fe:fe:fe:e2:46:d4,521348,521601,260262940527,135480384171,13999682578,62930616,8316.16,4328.99,2.0108,0.22,31.21,1,1,1,1,no,ok
pi5-bpif3,ipip,cell-01,2,0,60,64,2,ipip0,fe:fe:fe:e2:46:d4,378725,378954,229730763347,119826506899,12150482280,101426559,10103.70,5270.04,4.4608,0.15,27.69,1,1,1,1,no,ok
pi5-bpif3,ipip,cell-01,3,0,60,64,2,ipip0,fe:fe:fe:e2:46:d4,734020,734256,0,0,0,0,0.00,0.00,0.0000,0.00,0.00,1,1,1,1,no,ok
pi5-bpif3,ipip,cell-02,1,1,60,64,2,ipip0,fe:fe:fe:e2:46:d4,412370,412635,201439611660,105876859460,10532294256,118550521,8136.31,4276.45,4.7884,0.15,24.21,1,1,1,1,no,ok
pi5-bpif3,ipip,cell-02,2,1,60,64,2,ipip0,fe:fe:fe:e2:46:d4,490190,490393,223314496876,121701653279,12364667269,103748315,7589.63,4136.19,3.5260,0.12,26.88,1,1,1,1,no,ok
pi5-bpif3,ipip,cell-02,3,1,60,64,2,ipip0,fe:fe:fe:e2:46:d4,911154,911388,251734810027,134764749883,13874018058,85851982,4603.50,2464.46,1.5700,0.13,29.49,1,1,1,1,no,ok
pi5-bpif3,gre,cell-01,1,0,60,64,2,gretest0,fe:fe:fe:e2:46:d4,899499,899731,0,0,0,0,0.00,0.00,0.0000,0.00,0.00,1,1,1,1,no,ok
pi5-bpif3,gre,cell-01,2,0,60,64,2,gretest0,fe:fe:fe:e2:46:d4,482516,482739,229980483401,117426533663,11875878809,99957926,7940.12,4054.17,3.4511,0.19,27.71,1,1,1,1,no,ok
pi5-bpif3,gre,cell-01,3,0,60,64,2,gretest0,fe:fe:fe:e2:46:d4,469766,469922,265277028920,136802174886,14131437675,73172901,9408.53,4851.94,2.5952,0.23,31.90,1,1,1,1,no,ok
pi5-bpif3,gre,cell-02,1,1,60,64,2,gretest0,fe:fe:fe:e2:46:d4,391831,391983,259445938275,132818077289,13682667180,73052907,11031.32,5647.26,3.1061,0.25,31.24,1,1,1,1,no,ok
