pair,scenario,cell,rep,sysctl,dur_s,pkt_size,threads,scenario_iface,scenario_mac,pps_sent,pps_recv,cycles,instructions,branches,branch_misses,cycles_per_pkt,ins_per_pkt,branch_miss_per_pkt,recv_sys_pct,recv_soft_pct,rps,rfs,cake,flower,kernel_has_sysctl,status
pi5-pair,eth_ip,cell-01,1,0,60,64,2,end0,2c:cf:67:31:df:b7,371264,371414,197760821,264961758,49655890,242663,8.87,11.89,0.0109,0.03,29.30,1,1,1,1,no,ok
pi5-pair,eth_ip,cell-01,2,0,60,64,2,end0,2c:cf:67:31:df:b7,143514,143519,28047750,34402432,6528316,74570,3.26,4.00,0.0087,0.05,12.84,1,1,1,1,no,ok
pi5-pair,eth_ip,cell-01,3,0,60,64,2,end0,2c:cf:67:31:df:b7,368452,368607,134047782,161659902,30383136,223737,6.06,7.31,0.0101,0.08,32.36,1,1,1,1,no,ok
pi5-pair,eth_ip,cell-02,1,1,60,64,2,end0,2c:cf:67:31:df:b7,276006,275913,10546200593,18520978213,3477708550,5250911,637.05,1118.77,0.3172,0.05,24.80,1,1,1,1,no,ok
pi5-pair,eth_ip,cell-02,2,1,60,64,2,end0,2c:cf:67:31:df:b7,106306,256759,191499114,270251659,50359441,181102,12.43,17.54,0.0118,0.05,20.95,1,1,1,1,no,ok
pi5-pair,eth_ip,cell-02,3,1,60,64,2,end0,2c:cf:67:31:df:b7,368477,368497,18846748748,33110677488,6215879759,9851640,852.41,1497.55,0.4456,0.07,29.05,1,1,1,1,no,ok
pi5-pair,vlan,cell-01,1,0,60,64,2,vlan100,2c:cf:67:31:df:b7,239099,239104,316423011,448744300,83391085,273900,22.06,31.28,0.0191,0.07,19.23,1,1,1,1,no,ok
pi5-pair,vlan,cell-01,2,0,60,64,2,vlan100,2c:cf:67:31:df:b7,228993,368247,319608971,461995608,86068019,347193,14.47,20.91,0.0157,0.06,32.20,1,1,1,1,no,ok
pi5-pair,vlan,cell-01,3,0,60,64,2,vlan100,2c:cf:67:31:df:b7,262375,94788,18559607,21765800,4133411,55080,3.26,3.83,0.0097,0.02,8.70,1,1,1,1,no,ok
pi5-pair,vlan,cell-02,1,1,60,64,2,vlan100,2c:cf:67:31:df:b7,368571,368703,11137368398,19515704439,3660930283,4054715,503.45,882.18,0.1833,0.05,30.26,1,1,1,1,no,ok
pi5-pair,vlan,cell-02,2,1,60,64,2,vlan100,2c:cf:67:31:df:b7,90105,90110,98753998,146428427,27411216,101825,18.27,27.08,0.0188,0.06,6.84,1,1,1,1,no,ok
pi5-pair,vlan,cell-02,3,1,60,64,2,vlan100,2c:cf:67:31:df:b7,368594,368747,297032982,435156313,81341023,324988,13.43,19.67,0.0147,0.07,32.08,1,1,1,1,no,ok
pi5-pair,qinq,cell-01,1,0,60,64,2,cvlan100,2c:cf:67:31:df:b7,368339,368494,122108802,156944815,29547106,248217,5.52,7.10,0.0112,0.07,33.55,1,1,1,1,no,ok
pi5-pair,qinq,cell-01,2,0,60,64,2,cvlan100,2c:cf:67:31:df:b7,369034,369128,10616182494,18597592899,3489995789,5490906,479.33,839.71,0.2479,0.07,31.04,1,1,1,1,no,ok
pi5-pair,qinq,cell-01,3,0,60,64,2,cvlan100,2c:cf:67:31:df:b7,368403,368268,19524955118,34232488771,6422644840,9536232,883.64,1549.26,0.4316,0.07,29.92,1,1,1,1,no,ok
pi5-pair,qinq,cell-02,1,1,60,64,2,cvlan100,2c:cf:67:31:df:b7,368654,368692,10857422039,18933985365,3553590934,6441360,490.81,855.91,0.2912,0.06,33.98,1,1,1,1,no,ok
pi5-pair,qinq,cell-02,2,1,60,64,2,cvlan100,2c:cf:67:31:df:b7,368628,368720,10624603147,18642088695,3498266994,4789277,480.25,842.65,0.2165,0.07,31.23,1,1,1,1,no,ok
pi5-pair,qinq,cell-02,3,1,60,64,2,cvlan100,2c:cf:67:31:df:b7,368689,368643,19288023242,33926913257,6363701761,6374165,872.03,1533.86,0.2882,0.06,30.58,1,1,1,1,no,ok
pi5-pair,vxlan,cell-01,1,0,60,64,2,vxlan10,56:98:7e:10:9a:8f,0,5,582400,465321,83211,3345,1808.70,1445.10,10.3882,0.03,0.01,1,1,1,1,no,ok
pi5-pair,vxlan,cell-01,2,0,60,64,2,vxlan10,56:98:7e:10:9a:8f,0,5,620243,546305,100050,3386,2013.78,1773.72,10.9935,0.04,0.02,1,1,1,1,no,ok
pi5-pair,vxlan,cell-01,3,0,60,64,2,vxlan10,56:98:7e:10:9a:8f,0,4,451092,384028,70471,2600,1577.24,1342.76,9.0909,0.02,0.01,1,1,1,1,no,ok
pi5-pair,vxlan,cell-02,1,1,60,64,2,vxlan10,56:98:7e:10:9a:8f,0,4,456604,390785,70666,3486,1569.09,1342.90,11.9794,0.05,0.00,1,1,1,1,no,ok
pi5-pair,vxlan,cell-02,2,1,60,64,2,vxlan10,56:98:7e:10:9a:8f,0,4,455345,419078,75768,3248,1592.12,1465.31,11.3566,0.05,0.01,1,1,1,1,no,ok
pi5-pair,vxlan,cell-02,3,1,60,64,2,vxlan10,56:98:7e:10:9a:8f,0,5,486527,400199,72047,2932,1611.02,1325.16,9.7086,0.03,0.01,1,1,1,1,no,ok
pi5-pair,mpls,cell-01,1,0,60,64,2,lo,2c:cf:67:31:df:b7,368409,368552,334701351,519266046,97554458,287067,15.14,23.48,0.0130,0.05,32.01,1,1,1,1,no,ok
pi5-pair,mpls,cell-01,2,0,60,64,2,lo,2c:cf:67:31:df:b7,368921,369069,138150392,171827552,32212702,205919,6.24,7.76,0.0093,0.05,30.19,1,1,1,1,no,ok
pi5-pair,mpls,cell-01,3,0,60,64,2,lo,2c:cf:67:31:df:b7,368461,368531,10566976339,18542766428,3484874555,4293543,477.89,838.59,0.1942,0.07,31.06,1,1,1,1,no,ok
pi5-pair,mpls,cell-02,1,1,60,64,2,lo,2c:cf:67:31:df:b7,368521,368667,113678722,143520120,27033367,194973,5.14,6.49,0.0088,0.05,31.86,1,1,1,1,no,ok
pi5-pair,mpls,cell-02,2,1,60,64,2,lo,2c:cf:67:31:df:b7,368265,368415,115935973,148602203,28045462,207533,5.24,6.72,0.0094,0.08,32.05,1,1,1,1,no,ok
pi5-pair,mpls,cell-02,3,1,60,64,2,lo,2c:cf:67:31:df:b7,369131,369286,115926437,140460258,26391400,185761,5.23,6.34,0.0084,0.05,31.75,1,1,1,1,no,ok
pi5-pair,ipip,cell-01,1,0,60,64,2,ipip0,2c:cf:67:31:df:b7,368270,368425,198011301,278703966,52467890,236137,8.96,12.61,0.0107,0.04,30.59,1,1,1,1,no,ok
pi5-pair,ipip,cell-01,2,0,60,64,2,ipip0,2c:cf:67:31:df:b7,368435,368590,116806355,138646568,26077715,195186,5.28,6.27,0.0088,0.09,30.84,1,1,1,1,no,ok
pi5-pair,ipip,cell-01,3,0,60,64,2,ipip0,2c:cf:67:31:df:b7,368704,368483,31831836425,55645387284,10491422402,13245357,1439.77,2516.87,0.5991,0.06,31.55,1,1,1,1,no,ok
pi5-pair,ipip,cell-02,1,1,60,64,2,ipip0,2c:cf:67:31:df:b7,368420,366980,61498921632,107030283517,20185587358,28414697,2793.02,4860.86,1.2905,0.04,28.50,1,1,1,1,no,ok
pi5-pair,ipip,cell-02,2,1,60,64,2,ipip0,2c:cf:67:31:df:b7,368517,368673,99098082,120781296,22809879,188361,4.48,5.46,0.0085,0.06,33.41,1,1,1,1,no,ok
pi5-pair,ipip,cell-02,3,1,60,64,2,ipip0,2c:cf:67:31:df:b7,368427,368581,94942639,118521748,22391349,178390,4.29,5.36,0.0081,0.05,31.89,1,1,1,1,no,ok
