pair,scenario,cell,rep,sysctl,dur_s,pkt_size,threads,scenario_iface,scenario_mac,pps_sent,pps_recv,cycles,instructions,branches,branch_misses,cycles_per_pkt,ins_per_pkt,branch_miss_per_pkt,recv_sys_pct,recv_soft_pct,rps,rfs,cake,flower,kernel_has_sysctl,status
hp2-hp5,eth_ip,cell-01,1,0,60,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4260344,1408298,534281755176,541800801762,96210480864,135167295,6323.02,6412.00,1.5997,12.54,18.85,1,1,1,1,yes,ok
hp2-hp5,eth_ip,cell-01,2,0,60,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4190409,1362978,543775393111,546241690788,97130046237,137719314,6649.35,6679.51,1.6840,12.55,19.48,1,1,1,1,yes,ok
hp2-hp5,eth_ip,cell-01,3,0,60,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4196117,1361408,545380999346,545256227438,96943445743,133845483,6676.68,6675.15,1.6386,12.55,19.53,1,1,1,1,yes,ok
hp2-hp5,eth_ip,cell-02,1,1,60,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4198253,1402709,548288242608,543697902557,95474339768,136743554,6514.63,6460.09,1.6248,12.55,19.69,1,1,1,1,yes,ok
hp2-hp5,eth_ip,cell-02,2,1,60,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4199985,1360178,556938224918,545741203249,95990473450,135697383,6824.33,6687.13,1.6627,12.55,20.31,1,1,1,1,yes,ok
hp2-hp5,eth_ip,cell-02,3,1,60,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4196195,1362910,556136873487,544157851967,95708705058,136260398,6800.85,6654.36,1.6663,12.55,20.18,1,1,1,1,yes,ok
hp2-hp5,vlan,cell-01,1,0,60,64,2,vlan100,f8:f2:1e:38:ab:80,4231246,1416680,552687664285,542360631211,95025377908,139547672,6502.14,6380.65,1.6417,12.56,20.05,1,1,1,1,yes,ok
hp2-hp5,vlan,cell-01,2,0,60,64,2,vlan100,f8:f2:1e:38:ab:80,4201082,1353307,564469765039,546317789011,95939235359,138142143,6951.73,6728.18,1.7013,12.56,20.79,1,1,1,1,yes,ok
hp2-hp5,vlan,cell-01,3,0,60,64,2,vlan100,f8:f2:1e:38:ab:80,4204547,1444488,546407413846,545714333746,95522544528,136202529,6304.51,6296.51,1.5715,12.55,19.63,1,1,1,1,yes,ok
hp2-hp5,vlan,cell-02,1,1,60,64,2,vlan100,f8:f2:1e:38:ab:80,4200326,1464585,538176247644,542453606720,94808953119,138446460,6124.33,6173.01,1.5755,12.55,19.18,1,1,1,1,yes,ok
