testbed,host,pcap,mode,n_iter,n_replicates,ns_per_pkt_mean,ns_per_pkt_median,ns_per_pkt_p95,ns_per_pkt_ci95_lo,ns_per_pkt_ci95_hi,mpps_median,build_hash,kernel,nic_driver,nic_firmware
hp2-hp5-x710,hp5,combo.pcap,c-flowdis-usp,?,?,?,?,?,?,?,?,?,?,i40e,?
hp2-hp5-x710,hp5,combo.pcap,c-xdp2-usp,?,?,?,?,?,?,?,?,?,?,i40e,?
hp2-hp5-x710,hp5,combo.pcap,c-xdp2-parse-only,?,?,?,?,?,?,?,?,?,?,i40e,?
hp2-hp5-x710,hp5,combo.pcap,c-bpf-flowdis,?,?,?,?,?,?,?,?,?,?,i40e,?
hp2-hp5-x710,hp5,combo.pcap,c-bpf-xdp2,?,?,?,?,?,?,?,?,?,?,i40e,?
hp2-hp5-x710,hp5,combo.pcap,c-bpf-fast,?,?,?,?,?,?,?,?,?,?,i40e,?
hp2-hp5-x710,hp5,combo.pcap,rust-graph,?,?,?,?,?,?,?,?,?,?,i40e,?
hp2-hp5-x710,hp5,combo.pcap,rust-mono,?,?,?,?,?,?,?,?,?,?,i40e,?
hp2-hp5-x710,hp5,combo.pcap,rust-compiled,?,?,?,?,?,?,?,?,?,?,i40e,?
hp2-hp5-x710,hp5,combo.pcap,rust-template,?,?,?,?,?,?,?,?,?,?,i40e,?
